city,business_count
Reno,1
New Orleans,7
Dupo,1
Sellersville,1
Zephyrhills,1
Tampa,6
Kenner,1
Wilmington,1
West Chester,1
Lansdowne,1
Moorestown,1
Willow Grove,1
Coatesville,1
Nashville,4
Belleville,1
Metairie,1
Pennsville,1
Tucson,8
Audubon,1
Greenwood,1
Port Richey,2
Blackwood,1
Summerland,1
Pottstown,1
Camden,3
Saint Louis,7
Florissant,1
King of Prussia,1
Saint Rose,1
Oaklyn,1
Philadelphia,23
Indianapolis,1
Trenton,1
Pleasant View,1
Boise,2
Greenville,1
Edmonton,7
Hainesport,1
Meridian,1
Collingswood,1
Goodlettsville,1
Cherry Hill,1
Saint Petersburg,2
Santa Barbara,5
Mount Juliet,1
Edwardsville,1
Clearwater,2
Chesterfield,1
Marlton,1
