city,stars,business_count
Marrero,3.0,17
Maplewood,3.5,17
St Louis,1.5,12
Gretna,5.0,10
Verdi,2.5,4
Skippack,3.0,4
Saint Charles,3.5,39
St.Ann,4.5,1
Ozona,4.0,1
Unionville,3.0,1
River Ridge,1.5,1
Fountainville,3.5,1
Dunedin,1.5,2
Media,4.0,62
Bellmawr,2.5,4
Darby,4.0,2
ST. PETERSBURG,2.5,1
Burlington,2.0,10
West Chester,2.5,49
WEST CHESTER,3.5,1
Sappington,3.5,2
Ashland City,2.5,2
Hamilton,5.0,1
Dover,4.5,3
Ladue,3.0,4
Claymont,4.0,9
Levittown,4.0,49
Washington Township,4.5,2
Mt Laurel Township,2.5,1
Noblesville,3.5,5
Medford Lakes,4.5,2
Voorhees,3.0,25
Limerick,5.0,1
Odessa,2.0,6
Perkasie,4.0,11
Hatboro,1.5,1
CLIFTON HEIGHTS,2.0,1
Lawrence,2.0,1
Ballwin,5.0,7
Redington Shores,3.0,1
Wesley Chapel  FL,4.5,1
Logan Township,3.5,2
Fishers,2.0,23
Saint Davids,3.0,1
New Palestine,2.0,1
Hilltown,5.0,1
Valley Park,4.0,7
Dunedin,3.0,30
Delran Township,2.5,1
Wayne/Radnor,3.5,1
Lumberton,3.0,3
Lansdale,2.0,18
Montecito,4.5,21
Maryland Heights,2.0,18
Essington,3.5,3
Santa Barbara,5.0,560
East Lansdowne,2.5,1
Chadds Ford,1.0,1
Media,2.0,12
Mantua Township,4.5,1
St Albert,4.5,7
Turnersville,5.0,1
Ybor City,4.5,1
Concord Township,3.0,1
Haddon Heights,2.5,2
New Britain,3.5,4
Brentwood,2.0,27
Springfield,1.0,3
Brentwood,4.5,92
Limerick,4.0,6
Harvey,4.0,29
St. Louis,2.5,78
Zionsville,3.5,23
St. Louis,4.0,192
Eagleville,4.5,6
NORRISTOWN,3.5,1
Joelton,4.5,4
Elmer,1.5,1
Lawrenceville,4.0,1
Arnold,5.0,6
"Beech Grove,",4.5,1
Exton,2.5,32
Willingboro,4.0,7
St. Albert,4.5,6
West Berlin,2.5,5
Town And Country,4.0,1
Palmyra,4.0,4
Philadelphia,2.5,864
Indian Rocks Beach,3.0,8
Pleasant View,1.5,3
Saint Louis,2.5,264
Upland,2.0,1
Deptford,4.5,7
Marrero,5.0,3
Kuna,4.5,1
Collingdale,3.5,2
East Alton,2.0,1
Ferguson,3.5,3
Blvd,4.5,1
Wayne,4.5,49
Kennett Square,2.5,12
DOWNINGTOWN,4.5,1
Upland,4.0,1
Verdi,4.0,5
Catalina,1.5,1
Williamstown,5.0,3
Meridian,1.0,2
McCordsville,3.0,3
Mt Juliet,3.5,6
Springfield,3.5,42
Beverly,4.5,2
Belle Meade,2.5,1
Terrytown,3.5,5
Redington Shores,4.5,7
DONELSON,2.0,1
Sun Valley,1.0,1
Bridge City,4.0,1
Kirkwood,2.0,7
Pitman,3.5,9
Palm Harbor,5.0,31
Chester,2.5,6
LOWER MERION,3.5,1
Exton,4.5,25
Belleair Bluffs,4.0,5
South Madison,3.5,1
Hazelwood,5.0,1
St Pete Beach,2.5,6
Williamstown,1.0,1
Fairview Heights,2.0,11
Hudson,4.5,15
Morton,3.5,7
Swedesboro,3.5,10
Frontenac,4.0,2
Chester Springs,4.5,9
Ballwin,4.5,25
King Of Prussia,3.5,19
Isla Vista,4.0,22
Hatboro,4.0,22
Red Hill,4.5,1
Thonotosassa,3.5,6
Quakertown,3.5,9
Glen Carbon,1.5,1
Saint Ann,2.0,6
Richboro,2.5,11
Enoch,3.0,3
Marana,5.0,3
Jeffersonville,2.0,1
Twin Oaks,2.5,1
Broomall,4.5,20
Cahokia,4.0,2
Broomall,3.0,13
Feasterville-Trevose,2.5,4
Citrus Park,3.5,3
Boyertown,3.0,1
Saint Charles,1.5,7
Whitestown,2.5,4
Smithton,4.0,1
Delran,1.5,2
Upper Merion Township,3.0,1
Manayunk,4.5,3
Linfield,4.0,1
East St. Louis,1.0,1
Boise City,3.5,1
Virginia City,3.5,1
Holland,4.5,4
Clearwater Beach,1.5,2
Reno,1.0,19
Granite City,2.5,3
Town 'n' Country,5.0,2
Roslyn,3.0,1
Doylestown,4.5,50
Essington,4.5,7
Palm Harbor,3.5,82
Saint John,2.5,1
Quakertown,3.0,2
Clearwater Beach,2.5,8
Bristol,2.0,3
Conshohocken,2.0,13
Pottstown,5.0,4
Pennsburg,2.0,1
Glassboro,3.0,19
Haddon Township,2.5,3
Santa Clara,2.0,1
St. Charles,4.5,13
San Antonio,2.0,1
Eastampton,4.0,1
Erial,4.5,1
Newton Square,3.5,1
Port Richey,5.0,2
Maple Shade Township,3.5,2
Philadephia,3.5,1
Pinellas Park,5.0,15
Kenner,2.0,49
West Point,4.5,1
Collinsville,3.0,14
Waterford Works,4.5,3
Mantua,3.5,2
Newark,3.5,50
Earth City,3.0,2
Warrington,3.5,21
West Deptford,2.0,5
Feasterville-Trevose,5.0,4
St Petersburg,4.5,52
Saint Pete Beach,2.0,1
Williamstown,4.0,10
Skippack,4.0,6
Trolley Square,4.0,1
Tarpon Springs,4.5,69
Claymont,3.5,6
Primos,3.0,1
Westville,4.0,5
Mount Laurel,5.0,11
Ridley Township,4.5,1
Aston,1.5,3
Newark,2.0,26
Penns Grove,4.0,5
Turnersville,2.5,16
Montchanin,4.0,3
Yeadon,2.0,1
Bellevue,4.5,2
Abington,1.5,3
Fairless Hills,5.0,2
Garnet Valley,4.5,4
Penn Valley,4.5,1
Lebanon,1.5,1
Bosie,3.5,1
Conshohoeken,3.5,1
St Pete Beach,5.0,7
St Charles,5.0,5
Maryville ,4.5,1
Merchantville,4.0,7
Sahuarita,2.5,9
Wyncote,2.0,6
Spring City,5.0,3
Antioch,3.0,20
boise,5.0,1
Fairview Heights,1.5,7
Hamilton Township,2.5,2
Brentwood - Cool Springs,4.0,1
Sicklerville,5.0,2
Ofallon,2.5,1
Santa Barbara,4.0,623
Pottstown,2.0,23
Plymouth Meeting,2.5,20
Glenolden,5.0,2
LANGHORNE,4.5,1
Pinellas Park,1.0,4
Sherwood Park,4.5,14
MEDIA,3.5,1
Edwardsville,2.5,10
Plymouth Meeting,1.0,1
Odessa,1.0,1
Saint Petersburg,1.5,38
St Pete Beach,4.5,14
Washington Park,4.0,1
Gulfport,3.5,12
Hazelwood,3.5,14
ST. Louis,4.0,1
Greenville,4.5,2
Collingdale,5.0,1
Marlton,4.5,36
Newtown,4.5,41
Kenner,5.0,11
St Charles,2.0,2
Newtown Square,4.0,30
Warrington,4.5,14
Prospect Park,3.5,6
Maple Shade Township,3.0,3
Swedesboro,2.0,5
Norritown,3.5,1
Goleta,2.0,32
Clarksboro,4.5,1
Belleville,4.5,25
Beaumont,4.5,1
Wimauma,4.5,2
Imperial,3.0,6
Zieglerville,2.5,1
Buckingham,5.0,2
Castleton,5.0,1
Clearwater,3.0,168
Collingswood,3.0,10
Huntingdon Valley,4.5,28
Mascoutah,2.5,2
Valley Forge,5.0,1
Chalmette,4.0,15
Violet,4.0,1
Hamilton,3.5,4
High Ridge,5.0,1
Edgewater Park,2.0,1
Sunset Hills,1.5,2
Boise City,4.5,1
St. Pete Beach,3.5,34
Phoenixville,4.5,54
Gladwyne,4.5,1
Chicago,5.0,1
Oxnard,4.5,1
Malaga,3.0,1
Hazelwood,1.0,1
Pennsylvania,4.0,1
Bensalem Township,3.0,1
Oro Valley,3.0,29
Westville,2.5,2
Joelton,3.5,4
Oreland,2.0,1
King Of Prussia,5.0,2
Nolensville,1.5,1
Florence Township,3.0,1
Hamilton,4.5,8
Mt. Laurel,2.0,1
Franklin,1.0,8
Valley Park,3.5,7
Smithton,5.0,1
Plymouth Meeting,1.5,5
Hartford,3.0,1
Phila,3.5,2
NEW ORLEANS,4.0,1
New Castle,3.0,20
Clifton Heights,2.0,6
Frazer,1.5,1
Mt Holly,2.5,1
Harleysville,1.0,1
